data,nave,sistema,desc,tecnico,ore_motore,costo_eur
2026-05-15,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,87200,453
2026-05-15,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,87200,1054
2026-05-15,MV Jean de La Valette,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS,87200,2018
2026-05-15,MV Jean de La Valette,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS,87200,799
2026-05-15,MV Maria Dolores,Motore,"C-Check 2000h — Ispezione valvole, controllo iniettori UIS Bosch 0 414 701 076, regolazione giochi",Tecnico RCS Luigi Russo,110800,1871
2026-05-15,San Frangisk,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS,103600,444
2026-05-15,Balluta Bay,Motore,"Revisione Maggiore — Revisione top end Wärtsilä: valvole, guide, tenute, ispezione iniettori",Cantiere Navale Palermo,194000,14874
2026-05-14,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS Mario Greco,98400,290
2026-05-14,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,98400,269
2026-05-14,HSC Gozo Express,Motore,"Overhaul 8000h — Revisione completa: pistoni, segmenti MAHLE, bronzine, tenute testa cilindro",Cantiere Valletta,98400,14965
2026-05-14,San Pawl,Motore,"Major Overhaul — Overhaul completo MWM V16: pistoni, segmenti, guarnizioni MAHLE MS39012, bronzine",Cantiere Pozzallo,101400,39522
2026-05-13,HSC Gozo Express,Iniezione,"D-Check 4000h — Sostituzione iniettori CR MTU 12V 2000, revisione pompa HP, test banco",Tecnico RCS,98400,4125
2026-05-13,San Pawl,Iniezione,"Revisione Iniettori — Sostituzione iniettori Bosch / Delphi, revisione pompa iniezione 0 460 424 148",Cantiere Valletta,101400,7597
2026-05-13,Balluta Bay,Filtrazione,Cambio Olio 2000h — Cambio olio + filtri Wärtsilä — Hifi SO 4562 (OEM 182B2040) + SN gasolio,Tecnico RCS Mario Greco,194000,891
2026-05-12,San Pawl,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS Mario Greco,101400,366
2026-05-04,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS Mario Greco,110642,396
2026-05-04,MV Maria Dolores,Iniezione,"D-Check 4000h — Sostituzione iniettori unitari UIS MTU, revisione pompa CP3, calibrazione",Cantiere Navale Palermo,110627,5234
2026-04-21,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,98077,302
2026-04-13,San Pawl,Motore,"Ispezione 1000h — Ispezione completa: cinghie, manicotti, guarnizioni, valvole, analisi olio",Tecnico RCS,101138,801
2026-04-12,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,34405,549
2026-04-07,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,97863,271
2026-04-03,HSC Gozo Express,Motore,"C-Check 2000h — Ispezione iniettori CR Bosch 0 445 120 059, controllo valvole e distribuzione",Tecnico RCS,97808,1249
2026-04-02,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Mario Greco,34130,1047
2026-03-30,MV Saint John Paul II,Propulsione,"Ispezione Propulsione — Controllo eliche, shaft seal, allineamento alberi, lubrificazione riduttori",Tecnico RCS,34105,1369
2026-03-29,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,34085,466
2026-03-28,MV Jean de La Valette,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS,86137,815
2026-03-26,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,85966,571
2026-03-25,MV Saint John Paul II,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Cantiere Specializzato,34061,2339
2026-03-24,MV Saint John Paul II,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS,33880,828
2026-03-23,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Mario Greco,33939,805
2026-03-23,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico RCS Luigi Russo,97583,506
2026-03-19,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,33866,478
2026-03-18,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico esterno certificato,97563,543
2026-03-04,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,109554,438
2026-03-03,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,85503,567
2026-03-01,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,85343,469
2026-02-27,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,85413,518
2026-02-26,MV Maria Dolores,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio + controllo manicotti e guarnizioni (×6 motori),Tecnico RCS,109528,770
2026-02-21,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,33177,485
2026-02-21,MV Saint John Paul II,Motore,"Overhaul 8000h — Revisione completa top-end: pistoni, segmenti, bronzine, albero a camme, tenute",Cantiere Valletta,33141,37328
2026-02-19,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,109353,433
2026-02-18,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,109332,373
2026-02-15,MV Maria Dolores,Motore,"C-Check 2000h — Ispezione valvole, controllo iniettori UIS Bosch 0 414 701 076, regolazione giochi",Tecnico RCS Mario Greco,109323,1978
2026-02-06,MV Saint John Paul II,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico esterno certificato,32890,2076
2026-01-24,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,32601,597
2026-01-18,MV Maria Dolores,Raffreddamento,"Raffreddamento — Termostato MTU 11658815, fluido WF2071 Fleetguard, pulizia circuito",Tecnico RCS,108798,552
2026-01-10,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,84259,1016
2026-01-09,San Pawl,Motore,"Ispezione 1000h — Ispezione completa: cinghie, manicotti, guarnizioni, valvole, analisi olio",Tecnico RCS Luigi Russo,100389,846
2026-01-03,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,32036,1035
2026-01-01,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,31963,456
2025-12-19,MV Jean de La Valette,Propulsione,"Ispezione Propulsione — Controllo eliche, shaft seal, allineamento alberi, lubrificazione riduttori",Tecnico RCS,83783,1759
2025-12-19,San Pawl,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Cantiere Specializzato,100214,453
