product,date,price
RAM DDR5 32GB,2024-01-01,95
RAM DDR5 32GB,2024-02-01,98
RAM DDR5 32GB,2024-03-01,105
RAM DDR5 32GB,2024-04-01,120
RAM DDR5 32GB,2024-05-01,135
RAM DDR5 32GB,2024-06-01,145
RAM DDR5 32GB,2024-07-01,160
RAM DDR5 32GB,2024-08-01,175
RAM DDR5 32GB,2024-09-01,185
RAM DDR5 32GB,2024-10-01,195
RAM DDR5 32GB,2024-11-01,200
RAM DDR5 32GB,2024-12-01,210
RAM DDR5 32GB,2025-01-01,215
RAM DDR5 32GB,2025-02-01,220
RAM DDR5 32GB,2025-03-01,218
RAM DDR5 32GB,2025-04-01,225
RAM DDR5 32GB,2025-05-01,230
SSD NVMe 1TB,2024-01-01,75
SSD NVMe 1TB,2024-02-01,78
SSD NVMe 1TB,2024-03-01,82
SSD NVMe 1TB,2024-04-01,90
SSD NVMe 1TB,2024-05-01,98
SSD NVMe 1TB,2024-06-01,105
SSD NVMe 1TB,2024-07-01,112
SSD NVMe 1TB,2024-08-01,118
SSD NVMe 1TB,2024-09-01,125
SSD NVMe 1TB,2024-10-01,130
SSD NVMe 1TB,2024-11-01,128
SSD NVMe 1TB,2024-12-01,135
SSD NVMe 1TB,2025-01-01,138
SSD NVMe 1TB,2025-02-01,140
SSD NVMe 1TB,2025-03-01,142
SSD NVMe 1TB,2025-04-01,145
SSD NVMe 1TB,2025-05-01,148
GPU RTX 4070,2024-01-01,580
GPU RTX 4070,2024-02-01,590
GPU RTX 4070,2024-03-01,610
GPU RTX 4070,2024-04-01,650
GPU RTX 4070,2024-05-01,690
GPU RTX 4070,2024-06-01,730
GPU RTX 4070,2024-07-01,780
GPU RTX 4070,2024-08-01,820
GPU RTX 4070,2024-09-01,860
GPU RTX 4070,2024-10-01,900
GPU RTX 4070,2024-11-01,920
GPU RTX 4070,2024-12-01,950
GPU RTX 4070,2025-01-01,970
GPU RTX 4070,2025-02-01,990
GPU RTX 4070,2025-03-01,1010
GPU RTX 4070,2025-04-01,1030
GPU RTX 4070,2025-05-01,1050
